Data;Water Level;Water Level Error
01/01/2019;0,743506;0,005479
02/01/2019;0,743506;0,005479
03/01/2019;0,743506;0,005479
04/01/2019;0,741146;0,005519
05/01/2019;0,738785;0,005559
06/01/2019;0,736424;0,005599
07/01/2019;0,734063;0,005639
08/01/2019;0,731702;0,005679
09/01/2019;0,729341;0,005719
10/01/2019;0,72698;0,005759
11/01/2019;0,724619;0,005799
12/01/2019;0,722258;0,005839
13/01/2019;0,719897;0,005879
14/01/2019;0,717536;0,005919
15/01/2019;0,715175;0,005959
16/01/2019;0,712814;0,005999
17/01/2019;0,710453;0,006039
18/01/2019;0,708092;0,006079
19/01/2019;0,705731;0,006119
20/01/2019;0,70337;0,006159
21/01/2019;0,701009;0,006199
22/01/2019;0,698648;0,006239
23/01/2019;0,696287;0,006279
24/01/2019;0,693926;0,006319
25/01/2019;0,691565;0,006359
26/01/2019;0,689204;0,006399
27/01/2019;0,686843;0,006439
28/01/2019;0,684482;0,006479
29/01/2019;0,682121;0,006519
30/01/2019;0,679772;0,006562
31/01/2019;0;0
01/02/2019;0;0
02/02/2019;0;0
03/02/2019;0;0
04/02/2019;0;0
05/02/2019;0;0
06/02/2019;0;0
07/02/2019;0;0
08/02/2019;0;0
09/02/2019;0;0
10/02/2019;0;0
11/02/2019;0;0
12/02/2019;0;0
13/02/2019;0;0
14/02/2019;0;0
15/02/2019;0;0
16/02/2019;0;0
17/02/2019;0;0
18/02/2019;0;0
19/02/2019;0;0
20/02/2019;0;0
21/02/2019;0;0
22/02/2019;0;0
23/02/2019;0;0
24/02/2019;0;0
25/02/2019;0;0
26/02/2019;0,689200664;0,000911506
27/02/2019;0;0
28/02/2019;0;0
01/03/2019;0;0
02/03/2019;0;0
03/03/2019;0;0
04/03/2019;0;0
05/03/2019;0;0
06/03/2019;0;0
07/03/2019;0;0
08/03/2019;0;0
09/03/2019;0;0
10/03/2019;0;0
11/03/2019;0;0
12/03/2019;0;0
13/03/2019;0;0
14/03/2019;0;0
15/03/2019;0;0
16/03/2019;0;0
17/03/2019;0;0
18/03/2019;0;0
19/03/2019;0;0
20/03/2019;0;0
21/03/2019;0;0
22/03/2019;0;0
23/03/2019;0;0
24/03/2019;0;0
25/03/2019;0,583887492;0,017785037
26/03/2019;0;0
27/03/2019;0;0
28/03/2019;0;0
29/03/2019;0;0
30/03/2019;0;0
31/03/2019;0;0
01/04/2019;0;0
02/04/2019;0;0
03/04/2019;0;0
04/04/2019;0;0
05/04/2019;0;0
06/04/2019;0;0
07/04/2019;0;0
08/04/2019;0;0
09/04/2019;0;0
10/04/2019;0;0
11/04/2019;0;0
12/04/2019;0;0
13/04/2019;0;0
14/04/2019;0;0
15/04/2019;0;0
16/04/2019;0;0
17/04/2019;0;0
18/04/2019;0;0
19/04/2019;0;0
20/04/2019;0;0
21/04/2019;0,749481726;0,053016365
22/04/2019;0;0
23/04/2019;0;0
24/04/2019;0;0
25/04/2019;0;0
26/04/2019;0;0
27/04/2019;0;0
28/04/2019;0;0
29/04/2019;0;0
30/04/2019;0;0
01/05/2019;0;0
02/05/2019;0;0
03/05/2019;0;0
04/05/2019;0;0
05/05/2019;0;0
06/05/2019;0;0
07/05/2019;0;0
08/05/2019;0;0
09/05/2019;0;0
10/05/2019;0;0
11/05/2019;0;0
12/05/2019;0;0
13/05/2019;0;0
14/05/2019;0;0
15/05/2019;0;0
16/05/2019;0;0
17/05/2019;0;0
18/05/2019;10,4006658;0,016837214
19/05/2019;0;0
20/05/2019;0;0
21/05/2019;0;0
22/05/2019;0;0
23/05/2019;0;0
24/05/2019;0;0
25/05/2019;0;0
26/05/2019;0;0
27/05/2019;0;0
28/05/2019;0;0
29/05/2019;0;0
30/05/2019;0;0
31/05/2019;0;0
01/06/2019;0;0
02/06/2019;0;0
03/06/2019;0;0
04/06/2019;0;0
05/06/2019;0;0
06/06/2019;0;0
07/06/2019;0;0
08/06/2019;0;0
09/06/2019;0;0
10/06/2019;0;0
11/06/2019;0;0
12/06/2019;0;0
13/06/2019;0;0
14/06/2019;0,612899071;0,01474183
15/06/2019;0;0
16/06/2019;0;0
17/06/2019;0;0
18/06/2019;0;0
19/06/2019;0;0
20/06/2019;0;0
21/06/2019;0;0
22/06/2019;0;0
23/06/2019;0;0
24/06/2019;0;0
25/06/2019;0;0
26/06/2019;0;0
27/06/2019;0;0
28/06/2019;0;0
29/06/2019;0;0
30/06/2019;0;0
01/07/2019;0;0
02/07/2019;0;0
03/07/2019;0;0
04/07/2019;0;0
05/07/2019;0;0
06/07/2019;0;0
07/07/2019;0;0
08/07/2019;0;0
09/07/2019;0;0
10/07/2019;0;0
11/07/2019;0,729598959;0,011134225
12/07/2019;0;0
13/07/2019;0;0
14/07/2019;0;0
15/07/2019;0;0
16/07/2019;0;0
17/07/2019;0;0
18/07/2019;0;0
19/07/2019;0;0
20/07/2019;0;0
21/07/2019;0;0
22/07/2019;0;0
23/07/2019;0;0
24/07/2019;0;0
25/07/2019;0;0
26/07/2019;0;0
27/07/2019;0;0
28/07/2019;0;0
29/07/2019;0;0
30/07/2019;0;0
31/07/2019;0;0
01/08/2019;0;0
02/08/2019;0;0
03/08/2019;0;0
04/08/2019;0;0
05/08/2019;0;0
06/08/2019;0;0
07/08/2019;11,62216928;0,010944729
08/08/2019;0;0
09/08/2019;0;0
10/08/2019;0;0
11/08/2019;0;0
12/08/2019;0;0
13/08/2019;0;0
14/08/2019;0;0
15/08/2019;0;0
16/08/2019;0;0
17/08/2019;0;0
18/08/2019;0;0
19/08/2019;0;0
20/08/2019;0;0
21/08/2019;0;0
22/08/2019;0;0
23/08/2019;0;0
24/08/2019;0;0
25/08/2019;0;0
26/08/2019;0;0
27/08/2019;0;0
28/08/2019;0;0
29/08/2019;0;0
30/08/2019;0;0
31/08/2019;0;0
01/09/2019;0;0
02/09/2019;0;0
03/09/2019;0,871744474;0,033774088
04/09/2019;0;0
05/09/2019;0;0
06/09/2019;0;0
07/09/2019;0;0
08/09/2019;0;0
09/09/2019;0;0
10/09/2019;0;0
11/09/2019;0;0
12/09/2019;0;0
13/09/2019;0;0
14/09/2019;0;0
15/09/2019;0;0
16/09/2019;0;0
17/09/2019;0;0
18/09/2019;0;0
19/09/2019;0;0
20/09/2019;0;0
21/09/2019;0;0
22/09/2019;0;0
23/09/2019;0;0
24/09/2019;0;0
25/09/2019;0;0
26/09/2019;0;0
27/09/2019;0;0
28/09/2019;0;0
29/09/2019;0;0
30/09/2019;0,589140245;0,006560948
01/10/2019;0;0
02/10/2019;0;0
03/10/2019;0;0
04/10/2019;0;0
05/10/2019;0;0
06/10/2019;0;0
07/10/2019;0;0
08/10/2019;0;0
09/10/2019;0;0
10/10/2019;0;0
11/10/2019;0;0
12/10/2019;0;0
13/10/2019;0;0
14/10/2019;0;0
15/10/2019;0;0
16/10/2019;0;0
17/10/2019;0;0
18/10/2019;0;0
19/10/2019;0;0
20/10/2019;0;0
21/10/2019;0;0
22/10/2019;0;0
23/10/2019;0;0
24/10/2019;0;0
25/10/2019;0;0
26/10/2019;0;0
27/10/2019;10,80084372;0,046758854
28/10/2019;0;0
29/10/2019;0;0
30/10/2019;0;0
31/10/2019;0;0
01/11/2019;0;0
02/11/2019;0;0
03/11/2019;0;0
04/11/2019;0;0
05/11/2019;0;0
06/11/2019;0;0
07/11/2019;0;0
08/11/2019;0;0
09/11/2019;0;0
10/11/2019;0;0
11/11/2019;0;0
12/11/2019;0;0
13/11/2019;0;0
14/11/2019;0;0
15/11/2019;0;0
16/11/2019;0;0
17/11/2019;0;0
18/11/2019;0;0
19/11/2019;0;0
20/11/2019;0;0
21/11/2019;0;0
22/11/2019;0;0
23/11/2019;12,74539153;0,030702197
24/11/2019;0;0
25/11/2019;0;0
26/11/2019;0;0
27/11/2019;0;0
28/11/2019;0;0
29/11/2019;0;0
30/11/2019;0;0
01/12/2019;0;0
02/12/2019;0;0
03/12/2019;0;0
04/12/2019;0;0
05/12/2019;0;0
06/12/2019;0;0
07/12/2019;0;0
08/12/2019;0;0
09/12/2019;0;0
10/12/2019;0;0
11/12/2019;0;0
12/12/2019;0;0
13/12/2019;0;0
14/12/2019;0;0
15/12/2019;0;0
16/12/2019;0;0
17/12/2019;0;0
18/12/2019;0;0
19/12/2019;0;0
20/12/2019;0,414231846;0,057217548
21/12/2019;0;0
22/12/2019;0;0
23/12/2019;0;0
24/12/2019;0;0
25/12/2019;0;0
26/12/2019;0;0
27/12/2019;0;0
28/12/2019;0;0
29/12/2019;0;0
30/12/2019;0;0
31/12/2019;0;0
01/01/2020;0;0
02/01/2020;0;0
03/01/2020;0;0
04/01/2020;0;0
05/01/2020;0;0
06/01/2020;0;0
07/01/2020;0;0
08/01/2020;0;0
09/01/2020;0;0
10/01/2020;0;0
11/01/2020;0;0
12/01/2020;0;0
13/01/2020;0;0
14/01/2020;0;0
15/01/2020;0;0
16/01/2020;0,706772471;0,057729204
17/01/2020;0;0
18/01/2020;0;0
19/01/2020;0;0
20/01/2020;0;0
21/01/2020;0;0
22/01/2020;0;0
23/01/2020;0;0
24/01/2020;0;0
25/01/2020;0;0
26/01/2020;0;0
27/01/2020;0;0
28/01/2020;0;0
29/01/2020;0;0
30/01/2020;0;0
31/01/2020;0;0
01/02/2020;0;0
02/02/2020;0;0
03/02/2020;0;0
04/02/2020;0;0
05/02/2020;0;0
06/02/2020;0;0
07/02/2020;0;0
08/02/2020;0;0
09/02/2020;0;0
10/02/2020;0;0
11/02/2020;0;0
12/02/2020;0,35144017;0,031137987
13/02/2020;0;0
14/02/2020;0;0
15/02/2020;0;0
16/02/2020;0;0
17/02/2020;0;0
18/02/2020;0;0
19/02/2020;0;0
20/02/2020;0;0
21/02/2020;0;0
22/02/2020;0;0
23/02/2020;0;0
24/02/2020;0;0
25/02/2020;0;0
26/02/2020;0;0
27/02/2020;0;0
28/02/2020;0;0
29/02/2020;0;0
01/03/2020;0;0
02/03/2020;0;0
03/03/2020;0;0
04/03/2020;0;0
05/03/2020;0;0
06/03/2020;0;0
07/03/2020;0;0
08/03/2020;0;0
09/03/2020;0;0
10/03/2020;0,441434466;0,025703768
11/03/2020;0;0
12/03/2020;0;0
13/03/2020;0;0
14/03/2020;0;0
15/03/2020;0;0
16/03/2020;0;0
17/03/2020;0;0
18/03/2020;0;0
19/03/2020;0;0
20/03/2020;0;0
21/03/2020;0;0
22/03/2020;0;0
23/03/2020;0;0
24/03/2020;0;0
25/03/2020;0;0
26/03/2020;0;0
27/03/2020;0;0
28/03/2020;0;0
29/03/2020;0;0
30/03/2020;0;0
31/03/2020;0;0
01/04/2020;0;0
02/04/2020;0;0
03/04/2020;0;0
04/04/2020;0;0
05/04/2020;0;0
06/04/2020;0,206056212;0,000261582
07/04/2020;0;0
08/04/2020;0;0
09/04/2020;0;0
10/04/2020;0;0
11/04/2020;0;0
12/04/2020;0;0
13/04/2020;0;0
14/04/2020;0;0
15/04/2020;0;0
16/04/2020;0;0
17/04/2020;0;0
18/04/2020;0;0
19/04/2020;0;0
20/04/2020;0;0
21/04/2020;0;0
22/04/2020;0;0
23/04/2020;0;0
24/04/2020;0;0
25/04/2020;0;0
26/04/2020;0;0
27/04/2020;0;0
28/04/2020;0;0
29/04/2020;0;0
30/04/2020;0;0
01/05/2020;0;0
02/05/2020;0;0
03/05/2020;0,457229044;0,007590685
04/05/2020;0;0
05/05/2020;0;0
06/05/2020;0;0
07/05/2020;0;0
08/05/2020;0;0
09/05/2020;0;0
10/05/2020;0;0
11/05/2020;0;0
12/05/2020;0;0
13/05/2020;0;0
14/05/2020;0;0
15/05/2020;0;0
16/05/2020;0;0
17/05/2020;0;0
18/05/2020;0;0
19/05/2020;0;0
20/05/2020;0;0
21/05/2020;0;0
22/05/2020;0;0
23/05/2020;0;0
24/05/2020;0;0
25/05/2020;0;0
26/05/2020;0;0
27/05/2020;0;0
28/05/2020;0;0
29/05/2020;0;0
30/05/2020;0,419875144;0,013629093
31/05/2020;0;0
01/06/2020;0;0
02/06/2020;0;0
03/06/2020;0;0
04/06/2020;0;0
05/06/2020;0;0
06/06/2020;0;0
07/06/2020;0;0
08/06/2020;0;0
09/06/2020;0;0
10/06/2020;0;0
11/06/2020;0;0
12/06/2020;0;0
13/06/2020;0;0
14/06/2020;0;0
15/06/2020;0;0
16/06/2020;0;0
17/06/2020;0;0
18/06/2020;0;0
19/06/2020;0;0
20/06/2020;0;0
21/06/2020;0;0
22/06/2020;0;0
23/06/2020;0;0
24/06/2020;0;0
25/06/2020;0;0
26/06/2020;0,604500917;0,003664648
27/06/2020;0;0
28/06/2020;0;0
29/06/2020;0;0
30/06/2020;0;0
01/07/2020;0;0
02/07/2020;0;0
03/07/2020;0;0
04/07/2020;0;0
05/07/2020;0;0
06/07/2020;0;0
07/07/2020;0;0
08/07/2020;0;0
09/07/2020;0;0
10/07/2020;0;0
11/07/2020;0;0
12/07/2020;0;0
13/07/2020;0;0
14/07/2020;0;0
15/07/2020;0;0
16/07/2020;0;0
17/07/2020;0;0
18/07/2020;0;0
19/07/2020;0;0
20/07/2020;0;0
21/07/2020;0;0
22/07/2020;0;0
23/07/2020;11,74903241;0,001843426
24/07/2020;0;0
25/07/2020;0;0
26/07/2020;0;0
27/07/2020;0;0
28/07/2020;0;0
29/07/2020;0;0
30/07/2020;0;0
31/07/2020;0;0
01/08/2020;0;0
02/08/2020;0;0
03/08/2020;0;0
04/08/2020;0;0
05/08/2020;0;0
06/08/2020;0;0
07/08/2020;0;0
08/08/2020;0;0
09/08/2020;0;0
10/08/2020;0;0
11/08/2020;0;0
12/08/2020;0;0
13/08/2020;0;0
14/08/2020;0;0
15/08/2020;0;0
16/08/2020;0;0
17/08/2020;0;0
18/08/2020;0;0
19/08/2020;15,26889233;0,050452695
20/08/2020;0;0
21/08/2020;0;0
22/08/2020;0;0
23/08/2020;0;0
24/08/2020;0;0
25/08/2020;0;0
26/08/2020;0;0
27/08/2020;0;0
28/08/2020;0;0
29/08/2020;0;0
30/08/2020;0;0
31/08/2020;0;0
01/09/2020;0;0
02/09/2020;0;0
03/09/2020;0;0
04/09/2020;0;0
05/09/2020;0;0
06/09/2020;0;0
07/09/2020;0;0
08/09/2020;0;0
09/09/2020;0;0
10/09/2020;0;0
11/09/2020;0;0
12/09/2020;0;0
13/09/2020;0;0
14/09/2020;0;0
15/09/2020;0,987070108;0,003487568
16/09/2020;0;0
17/09/2020;0;0
18/09/2020;0;0
19/09/2020;0;0
20/09/2020;0;0
21/09/2020;0;0
22/09/2020;0;0
23/09/2020;0;0
24/09/2020;0;0
25/09/2020;0;0
26/09/2020;0;0
27/09/2020;0;0
28/09/2020;0;0
29/09/2020;0;0
30/09/2020;0;0
01/10/2020;0;0
02/10/2020;0;0
03/10/2020;0;0
04/10/2020;0;0
05/10/2020;0;0
06/10/2020;0;0
07/10/2020;0;0
08/10/2020;0;0
09/10/2020;0;0
10/10/2020;0;0
11/10/2020;0;0
12/10/2020;0,826124496;0,019660121
13/10/2020;0;0
14/10/2020;0;0
15/10/2020;0;0
16/10/2020;0;0
17/10/2020;0;0
18/10/2020;0;0
19/10/2020;0;0
20/10/2020;0;0
21/10/2020;0;0
22/10/2020;0;0
23/10/2020;0;0
24/10/2020;0;0
25/10/2020;0;0
26/10/2020;0;0
27/10/2020;0;0
28/10/2020;0;0
29/10/2020;0;0
30/10/2020;0;0
31/10/2020;0;0
01/11/2020;0;0
02/11/2020;0;0
03/11/2020;0;0
04/11/2020;0;0
05/11/2020;0;0
06/11/2020;0;0
07/11/2020;0;0
08/11/2020;0,430220558;0,007857403
09/11/2020;0;0
10/11/2020;0;0
11/11/2020;0;0
12/11/2020;0;0
13/11/2020;0;0
14/11/2020;0;0
15/11/2020;0;0
16/11/2020;0;0
17/11/2020;0;0
18/11/2020;0;0
19/11/2020;0;0
20/11/2020;0;0
21/11/2020;0;0
22/11/2020;0;0
23/11/2020;0;0
24/11/2020;0;0
25/11/2020;0;0
26/11/2020;0;0
27/11/2020;0;0
28/11/2020;0;0
29/11/2020;0;0
30/11/2020;0;0
01/12/2020;0;0
02/12/2020;0;0
03/12/2020;0;0
04/12/2020;0;0
05/12/2020;0,428403223;0,093874025
06/12/2020;0;0
07/12/2020;0;0
08/12/2020;0;0
09/12/2020;0;0
10/12/2020;0;0
11/12/2020;0;0
12/12/2020;0;0
13/12/2020;0;0
14/12/2020;0;0
15/12/2020;0;0
16/12/2020;0;0
17/12/2020;0;0
18/12/2020;0;0
19/12/2020;0;0
20/12/2020;0;0
21/12/2020;0;0
22/12/2020;0;0
23/12/2020;0;0
24/12/2020;0;0
25/12/2020;0;0
26/12/2020;0;0
27/12/2020;0;0
28/12/2020;0;0
29/12/2020;0;0
30/12/2020;0;0
31/12/2020;0;0
01/01/2021;0,236145566;0,049723687
02/01/2021;0;0
03/01/2021;0;0
04/01/2021;0;0
05/01/2021;0;0
06/01/2021;0;0
07/01/2021;0;0
08/01/2021;0;0
09/01/2021;0;0
10/01/2021;0;0
11/01/2021;0;0
12/01/2021;0;0
13/01/2021;0;0
14/01/2021;0;0
15/01/2021;0;0
16/01/2021;0;0
17/01/2021;0;0
18/01/2021;0;0
19/01/2021;0;0
20/01/2021;0;0
21/01/2021;0;0
22/01/2021;0;0
23/01/2021;0;0
24/01/2021;0;0
25/01/2021;0;0
26/01/2021;0;0
27/01/2021;0;0
28/01/2021;0,610856816;0,012391407
29/01/2021;0;0
30/01/2021;0;0
31/01/2021;0;0
01/02/2021;0;0
02/02/2021;0;0
03/02/2021;0;0
04/02/2021;0;0
05/02/2021;0;0
06/02/2021;0;0
07/02/2021;0;0
08/02/2021;0;0
09/02/2021;0;0
10/02/2021;0;0
11/02/2021;0;0
12/02/2021;0;0
13/02/2021;0;0
14/02/2021;0;0
15/02/2021;0;0
16/02/2021;0;0
17/02/2021;0;0
18/02/2021;0;0
19/02/2021;0;0
20/02/2021;0;0
21/02/2021;0;0
22/02/2021;0;0
23/02/2021;0;0
24/02/2021;0,624869354;0,004438449
25/02/2021;0;0
26/02/2021;0;0
27/02/2021;0;0
28/02/2021;0;0
01/03/2021;0;0
02/03/2021;0;0
03/03/2021;0;0
04/03/2021;0;0
05/03/2021;0;0
06/03/2021;0;0
07/03/2021;0;0
08/03/2021;0;0
09/03/2021;0;0
10/03/2021;0;0
11/03/2021;0;0
12/03/2021;0;0
13/03/2021;0;0
14/03/2021;0;0
15/03/2021;0;0
16/03/2021;0;0
17/03/2021;0;0
18/03/2021;0;0
19/03/2021;0;0
20/03/2021;0;0
21/03/2021;0;0
22/03/2021;0;0
23/03/2021;0,592167893;0,011170617
24/03/2021;0;0
25/03/2021;0;0
26/03/2021;0;0
27/03/2021;0;0
28/03/2021;0;0
29/03/2021;0;0
30/03/2021;0;0
31/03/2021;0;0
01/04/2021;0;0
02/04/2021;0;0
03/04/2021;0;0
04/04/2021;0;0
05/04/2021;0;0
06/04/2021;0;0
07/04/2021;0;0
08/04/2021;0;0
09/04/2021;0;0
10/04/2021;0;0
11/04/2021;0;0
12/04/2021;0;0
13/04/2021;0;0
14/04/2021;0;0
15/04/2021;0;0
16/04/2021;0;0
17/04/2021;0;0
18/04/2021;0;0
19/04/2021;0,397116061;0,008744355
20/04/2021;0;0
21/04/2021;0;0
22/04/2021;0;0
23/04/2021;0;0
24/04/2021;0;0
25/04/2021;0;0
26/04/2021;0;0
27/04/2021;0;0
28/04/2021;0;0
29/04/2021;0;0
30/04/2021;0;0
01/05/2021;0;0
02/05/2021;0;0
03/05/2021;0;0
04/05/2021;0;0
05/05/2021;0;0
06/05/2021;0;0
07/05/2021;0;0
08/05/2021;0;0
09/05/2021;0;0
10/05/2021;0;0
11/05/2021;0;0
12/05/2021;0;0
13/05/2021;0;0
14/05/2021;0;0
15/05/2021;0;0
16/05/2021;0,461896246;0,010035888
17/05/2021;0;0
18/05/2021;0;0
19/05/2021;0;0
20/05/2021;0;0
21/05/2021;0;0
22/05/2021;0;0
23/05/2021;0;0
24/05/2021;0;0
25/05/2021;0;0
26/05/2021;0;0
27/05/2021;0;0
28/05/2021;0;0
29/05/2021;0;0
30/05/2021;0;0
31/05/2021;0;0
01/06/2021;0;0
02/06/2021;0;0
03/06/2021;0;0
04/06/2021;0;0
05/06/2021;0;0
06/06/2021;0;0
07/06/2021;0;0
08/06/2021;0;0
09/06/2021;0;0
10/06/2021;0;0
11/06/2021;0;0
12/06/2021;0,589806521;0,003372653
13/06/2021;0;0
14/06/2021;0;0
15/06/2021;0;0
16/06/2021;0;0
17/06/2021;0;0
18/06/2021;0;0
19/06/2021;0;0
20/06/2021;0;0
21/06/2021;0;0
22/06/2021;0;0
23/06/2021;0;0
24/06/2021;0;0
25/06/2021;0;0
26/06/2021;0;0
27/06/2021;0;0
28/06/2021;0;0
29/06/2021;0;0
30/06/2021;0;0
01/07/2021;0;0
02/07/2021;0;0
03/07/2021;0;0
04/07/2021;0;0
05/07/2021;0;0
06/07/2021;0;0
07/07/2021;0;0
08/07/2021;0;0
09/07/2021;0,703386748;0,00200756
10/07/2021;0;0
11/07/2021;0;0
12/07/2021;0;0
13/07/2021;0;0
14/07/2021;0;0
15/07/2021;0;0
16/07/2021;0;0
17/07/2021;0;0
18/07/2021;0;0
19/07/2021;0;0
20/07/2021;0;0
21/07/2021;0;0
22/07/2021;0;0
23/07/2021;0;0
24/07/2021;0;0
25/07/2021;0;0
26/07/2021;0;0
27/07/2021;0;0
28/07/2021;0;0
29/07/2021;0;0
30/07/2021;0;0
31/07/2021;0;0
01/08/2021;0;0
02/08/2021;0;0
03/08/2021;0;0
04/08/2021;0;0
05/08/2021;0,537430559;0,046555182
06/08/2021;0;0
07/08/2021;0;0
08/08/2021;0;0
09/08/2021;0;0
10/08/2021;0;0
11/08/2021;0;0
12/08/2021;0;0
13/08/2021;0;0
14/08/2021;0;0
15/08/2021;0;0
16/08/2021;0;0
17/08/2021;0;0
18/08/2021;0;0
19/08/2021;0;0
20/08/2021;0;0
21/08/2021;0;0
22/08/2021;0;0
23/08/2021;0;0
24/08/2021;0;0
25/08/2021;0;0
26/08/2021;0;0
27/08/2021;0;0
28/08/2021;0;0
29/08/2021;0;0
30/08/2021;0;0
31/08/2021;0;0
01/09/2021;0,963061398;0,002151753
02/09/2021;0;0
03/09/2021;0;0
04/09/2021;0;0
05/09/2021;0;0
06/09/2021;0;0
07/09/2021;0;0
08/09/2021;0;0
09/09/2021;0;0
10/09/2021;0;0
11/09/2021;0;0
12/09/2021;0;0
13/09/2021;0;0
14/09/2021;0;0
15/09/2021;0;0
16/09/2021;0;0
17/09/2021;0;0
18/09/2021;0;0
19/09/2021;0;0
20/09/2021;0;0
21/09/2021;0;0
22/09/2021;0;0
23/09/2021;0;0
24/09/2021;0;0
25/09/2021;0;0
26/09/2021;0;0
27/09/2021;0;0
28/09/2021;1,087480791;0,01190615
29/09/2021;0;0
30/09/2021;0;0
01/10/2021;0;0
02/10/2021;0;0
03/10/2021;0;0
04/10/2021;0;0
05/10/2021;0;0
06/10/2021;0;0
07/10/2021;0;0
08/10/2021;0;0
09/10/2021;0;0
10/10/2021;0;0
11/10/2021;0;0
12/10/2021;0;0
13/10/2021;0;0
14/10/2021;0;0
15/10/2021;0;0
16/10/2021;0;0
17/10/2021;0;0
18/10/2021;0;0
19/10/2021;0;0
20/10/2021;0;0
21/10/2021;0;0
22/10/2021;0;0
23/10/2021;0;0
24/10/2021;0;0
25/10/2021;0,533239827;0,003855307
26/10/2021;0;0
27/10/2021;0;0
28/10/2021;0;0
29/10/2021;0;0
30/10/2021;0;0
31/10/2021;0;0
01/11/2021;0;0
02/11/2021;0;0
03/11/2021;0;0
04/11/2021;0;0
05/11/2021;0;0
06/11/2021;0;0
07/11/2021;0;0
08/11/2021;0;0
09/11/2021;0;0
10/11/2021;0;0
11/11/2021;0;0
12/11/2021;0;0
13/11/2021;0;0
14/11/2021;0;0
15/11/2021;0;0
16/11/2021;0;0
17/11/2021;0;0
18/11/2021;0;0
19/11/2021;0;0
20/11/2021;0;0
21/11/2021;0,169444856;0,004295471
22/11/2021;0;0
23/11/2021;0;0
24/11/2021;0;0
25/11/2021;0;0
26/11/2021;0;0
27/11/2021;0;0
28/11/2021;0;0
29/11/2021;0;0
30/11/2021;0;0
01/12/2021;0;0
02/12/2021;0;0
03/12/2021;0;0
04/12/2021;0;0
05/12/2021;0;0
06/12/2021;0;0
07/12/2021;0;0
08/12/2021;0;0
09/12/2021;0;0
10/12/2021;0;0
11/12/2021;0;0
12/12/2021;0;0
13/12/2021;0;0
